Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
111 Murphys Deli,78701,07/06/2012,83,"111 CONGRESS AVE
AUSTIN, TX 78701
(30.26417002700049, -97.74418107099967)",10637887,Routine Inspection
111 Murphys Deli,78701,01/16/2013,85,"111 CONGRESS AVE
AUSTIN, TX 78701
(30.26417002700049, -97.74418107099967)",10637887,Routine Inspection
111 Murphys Deli,78701,07/31/2013,78,"111 CONGRESS AVE
AUSTIN, TX 78701
(30.26417002700049, -97.74418107099967)",10637887,Routine Inspection
123 Noodles Inc.,78727,02/12/2014,81,"1700 W PARMER LN Bunit 100
AUSTIN, TX 78727
(30.412586021000436, -97.68902785499967)",10939410,Routine Inspection
15th Street Cafe,78701,01/26/2012,93,"303 W 15TH ST
AUSTIN, TX 78701
(30.277553856000452, -97.74209887899968)",2801033,Routine Inspection
15th Street Cafe,78701,05/22/2013,91,"303 W 15TH ST
AUSTIN, TX 78701
(30.277553856000452, -97.74209887899968)",2801033,Routine Inspection
15th Street Cafe,78701,06/23/2011,88,"303 W 15TH ST
AUSTIN, TX 78701
(30.277553856000452, -97.74209887899968)",2801033,Routine Inspection
15th Street Cafe,78701,09/13/2012,93,"303 W 15TH ST
AUSTIN, TX 78701
(30.277553856000452, -97.74209887899968)",2801033,Routine Inspection
15th Street Cafe,78701,12/05/2013,97,"303 W 15TH ST
AUSTIN, TX 78701
(30.277553856000452, -97.74209887899968)",2801033,Routine Inspection
1st Food Mart,78704,06/17/2013,100,"1410 S 1ST ST
AUSTIN, TX 78704
(30.250302961000443, -97.75485970799969)",10677646,Routine Inspection
1st Food Mart,78704,02/14/2013,97,"1410 S 1ST ST
AUSTIN, TX 78704
(30.250302961000443, -97.75485970799969)",10677646,Routine Inspection
1st Food Mart,78704,07/26/2012,97,"1410 S 1ST ST
AUSTIN, TX 78704
(30.250302961000443, -97.75485970799969)",10677646,Routine Inspection
1st Food Mart,78704,01/16/2014,90,"1410 S 1ST ST
AUSTIN, TX 78704
(30.250302961000443, -97.75485970799969)",10677646,Routine Inspection
1-Stop Food Store,78751,09/13/2012,97,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.312347071000488, -97.71529924399965)",10632697,Routine Inspection
1-Stop Food Store,78751,06/26/2013,100,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.312347071000488, -97.71529924399965)",10632697,Routine Inspection
1-Stop Food Store,78751,03/21/2012,92,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.312347071000488, -97.71529924399965)",10632697,Routine Inspection
1-Stop Food Store,78751,01/08/2014,100,"5101 AIRPORT BLVD
AUSTIN, TX 78751
(30.312347071000488, -97.71529924399965)",10632697,Routine Inspection
219 West ,78701,12/05/2012,86,"612 W 6TH ST
AUSTIN, TX 78701
(30.269846903000484, -97.74906320699966)",10679400,Routine Inspection
21st St. College House,78705,02/03/2012,91,"707 W 21ST ST
AUSTIN, TX 78705
(30.28407284600047, -97.74591267799968)",2800407,Routine Inspection
21st St. College House,78705,06/25/2013,91,"707 W 21ST ST
AUSTIN, TX 78705
(30.28407284600047, -97.74591267799968)",2800407,Routine Inspection
21st St. College House,78705,11/07/2012,92,"707 W 21ST ST
AUSTIN, TX 78705
(30.28407284600047, -97.74591267799968)",2800407,Routine Inspection
21st St. College House,78705,01/22/2014,100,"707 W 21ST ST
AUSTIN, TX 78705
(30.28407284600047, -97.74591267799968)",2800407,Routine Inspection
21st St. College House,78705,04/21/2011,85,"707 W 21ST ST
AUSTIN, TX 78705
(30.28407284600047, -97.74591267799968)",2800407,Routine Inspection
24 Diner,78703,04/09/2012,80,"600 N LAMAR BLVD
AUSTIN, TX 78703
(30.271764462000476, -97.75393823699966)",2800411,Routine Inspection
24 Diner,78703,01/24/2013,79,"600 N LAMAR BLVD
AUSTIN, TX 78703
(30.271764462000476, -97.75393823699966)",2800411,Routine Inspection
24 Diner,78703,02/04/2014,76,"600 N LAMAR BLVD
AUSTIN, TX 78703
(30.271764462000476, -97.75393823699966)",2800411,Routine Inspection
24 Diner,78703,10/03/2011,87,"600 N LAMAR BLVD
AUSTIN, TX 78703
(30.271764462000476, -97.75393823699966)",2800411,Routine Inspection
290 West Bar & Grill,78737,03/13/2013,100,"12013 W US 290 HWY
AUSTIN, TX 78737
(30.210916605000477, -97.96896423999965)",2802301,Routine Inspection
290 West Bar & Grill,78737,01/27/2012,96,"12013 W US 290 HWY
AUSTIN, TX 78737
(30.210916605000477, -97.96896423999965)",2802301,Routine Inspection
290 West Bar & Grill,78737,06/16/2011,100,"12013 W US 290 HWY
AUSTIN, TX 78737
(30.210916605000477, -97.96896423999965)",2802301,Routine Inspection
290 West Bar & Grill,78737,09/17/2013,100,"12013 W US 290 HWY
AUSTIN, TX 78737
(30.210916605000477, -97.96896423999965)",2802301,Routine Inspection
290 West Bar & Grill,78737,08/24/2012,97,"12013 W US 290 HWY
AUSTIN, TX 78737
(30.210916605000477, -97.96896423999965)",2802301,Routine Inspection
2 Dine 4 Fine Catering,78702,02/16/2012,94,"3008 GONZALES ST
AUSTIN, TX 78702
(30.25942646700048, -97.70708062599965)",2802035,Routine Inspection
